Temp,Chicken,Label
24.69,1011.3,Freshness
23.77,1011.31,Freshness
23.55,1011.3,Freshness
23.49,1011.31,Freshness
23.54,1011.3,Freshness
23.53,1011.31,Freshness
23.56,1011.33,Freshness
23.56,1011.32,Freshness
23.6,1011.31,Freshness
23.61,1011.3,Freshness
23.63,1011.31,Freshness
23.69,1011.33,Freshness
23.82,1011.32,Freshness
23.86,1011.34,Freshness
23.92,1011.33,Freshness
23.91,1011.32,Freshness
23.86,1011.31,Freshness
23.82,1011.33,Freshness
23.85,1011.34,Freshness
23.88,1011.36,Freshness
23.86,1011.37,Freshness
23.87,1011.39,Freshness
23.88,1011.38,Freshness
23.91,1011.4,Freshness
23.94,1011.42,Freshness
23.91,1011.44,Freshness
23.98,1011.43,Freshness
23.98,1011.42,Freshness
23.99,1011.41,Freshness
24.49,1011.59,Freshness
24.49,1011.6,Freshness
24.45,1011.62,Freshness
24.46,1011.61,Freshness
24.46,1011.6,Freshness
24.4,1011.62,Freshness
24.39,1011.64,Freshness
24.47,1011.63,Freshness
24.54,1011.62,Freshness
24.47,1011.64,Freshness
24.5,1011.66,Freshness
24.48,1011.68,Freshness
24.5,1011.67,Freshness
24.57,1011.66,Freshness
24.53,1011.68,Freshness
24.49,1011.7,Freshness
24.56,1011.69,Freshness
24.6,1011.71,Freshness
24.59,1011.72,Freshness
24.62,1011.73,Freshness
24.61,1011.72,Freshness
24.61,1011.71,Freshness
24.62,1011.72,Freshness
24.58,1011.73,Freshness
24.57,1011.72,Freshness
24.57,1011.71,Freshness
24.6,1011.7,Freshness
24.7,1011.69,Freshness
24.72,1011.68,Freshness
24.73,1011.67,Freshness
24.73,1011.69,Freshness
24.7,1011.68,Freshness
24.75,1011.7,Freshness
24.76,1011.72,Freshness
24.84,1011.71,Freshness
24.89,1011.72,Freshness
24.87,1011.73,Freshness
24.89,1011.72,Freshness
24.91,1011.71,Freshness
24.93,1011.7,Freshness
24.95,1011.69,Freshness
24.96,1011.68,Freshness
25.03,1011.7,Freshness
24.99,1011.69,Freshness
25.02,1011.68,Freshness
24.96,1011.67,Freshness
25,1011.66,Freshness
25.02,1011.65,Freshness
25.02,1011.64,Freshness
25.03,1011.66,Freshness
25.07,1011.65,Freshness
25.06,1011.66,Freshness
25.05,1011.68,Freshness
25.03,1011.67,Freshness
25.05,1011.69,Freshness
25.05,1011.71,Freshness
25.16,1011.72,Freshness
25.11,1011.73,Freshness
25.13,1011.72,Freshness
25.17,1011.73,Freshness
25.15,1011.72,Freshness
25.2,1011.73,Freshness
25.23,1011.72,Freshness
25.26,1011.73,Freshness
25.25,1011.75,Freshness
25.24,1011.77,Freshness
25.2,1011.76,Freshness
25.26,1011.75,Freshness
25.25,1011.74,Freshness
25.31,1011.66,Freshness
25.31,1011.68,Freshness
25.28,1011.67,Freshness
25.33,1011.66,Freshness
25.27,1011.68,Freshness
25.39,1011.7,Freshness
25.33,1011.69,Freshness
25.33,1011.68,Freshness
25.42,1011.67,Freshness
25.41,1011.66,Freshness
25.26,1011.65,Freshness
25.24,1011.64,Freshness
25.26,1011.63,Freshness
25.37,1011.65,Freshness
25.33,1011.66,Freshness
