Temp,Fish,Label
24.69,1011.8,Freshness
23.77,1011.82,Freshness
23.55,1011.8,Freshness
23.49,1011.82,Freshness
23.54,1011.8,Freshness
23.53,1011.82,Freshness
23.56,1011.8,Freshness
23.56,1011.82,Freshness
23.6,1011.84,Freshness
23.61,1011.86,Freshness
23.63,1011.88,Freshness
23.69,1011.86,Freshness
23.82,1011.84,Freshness
23.86,1011.82,Freshness
23.92,1011.84,Freshness
23.91,1011.86,Freshness
23.86,1011.84,Freshness
23.82,1011.86,Freshness
23.85,1011.88,Freshness
23.88,1011.9,Freshness
23.86,1011.92,Freshness
23.87,1011.94,Freshness
23.88,1011.92,Freshness
23.91,1011.9,Freshness
23.94,1011.88,Freshness
23.91,1011.86,Freshness
23.98,1011.88,Freshness
23.98,1011.86,Freshness
23.99,1011.84,Freshness
24.04,1011.82,Freshness
24.07,1011.84,Freshness
24.06,1011.86,Freshness
24.06,1011.84,Freshness
24.09,1011.82,Freshness
24.13,1011.8,Freshness
24.09,1011.8,Freshness
24.23,1011.8,Freshness
24.26,1011.8,Freshness
24.18,1011.8,Freshness
24.19,1011.8,Freshness
24.22,1011.82,Freshness
24.19,1011.8,Freshness
24.24,1011.8,Freshness
24.25,1011.82,Freshness
24.3,1011.84,Freshness
24.37,1011.82,Freshness
24.29,1011.84,Freshness
24.3,1011.82,Freshness
24.31,1011.84,Freshness
24.3,1011.82,Freshness
24.35,1011.8,Freshness
24.41,1011.8,Freshness
24.4,1011.8,Freshness
24.4,1011.82,Freshness
24.45,1011.8,Freshness
24.44,1011.82,Freshness
24.43,1011.8,Freshness
24.45,1011.82,Freshness
24.44,1011.8,Freshness
24.49,1011.8,Freshness
24.49,1011.8,Freshness
24.45,1011.82,Freshness
24.46,1011.8,Freshness
24.46,1011.8,Freshness
24.4,1011.82,Freshness
24.39,1011.84,Freshness
24.47,1011.86,Freshness
24.54,1011.84,Freshness
24.47,1011.82,Freshness
24.5,1011.84,Freshness
24.48,1011.82,Freshness
24.5,1011.8,Freshness
24.57,1011.8,Freshness
24.53,1011.8,Freshness
24.49,1011.82,Freshness
24.56,1011.8,Freshness
24.6,1011.82,Freshness
24.59,1011.8,Freshness
24.62,1011.8,Freshness
24.61,1011.8,Freshness
24.61,1011.82,Freshness
24.62,1011.8,Freshness
24.58,1011.8,Freshness
24.57,1011.8,Freshness
24.57,1011.82,Freshness
24.6,1011.8,Freshness
24.7,1011.8,Freshness
