Temp,Pork,Label
25.6,1011.8,Freshness
25.67,1011.82,Freshness
25.72,1011.8,Freshness
25.72,1011.82,Freshness
25.81,1011.8,Freshness
25.81,1011.82,Freshness
25.95,1011.8,Freshness
25.97,1011.82,Freshness
25.86,1011.84,Freshness
25.87,1011.86,Freshness
25.87,1011.88,Freshness
25.81,1011.86,Freshness
25.79,1011.84,Freshness
25.78,1011.82,Freshness
25.7,1011.84,Freshness
25.77,1011.86,Freshness
25.93,1011.84,Freshness
25.84,1011.86,Freshness
25.68,1011.88,Freshness
25.68,1011.9,Freshness
25.54,1011.92,Freshness
25.58,1011.94,Freshness
25.65,1011.92,Freshness
25.6,1011.9,Freshness
25.55,1011.88,Freshness
25.54,1011.86,Freshness
25.71,1011.88,Freshness
25.73,1011.86,Freshness
25.6,1011.84,Freshness
25.53,1011.82,Freshness
25.75,1011.84,Freshness
25.6,1011.86,Freshness
25.53,1011.84,Freshness
25.46,1011.82,Freshness
25.38,1011.8,Freshness
25.37,1011.8,Freshness
25.17,1011.8,Freshness
24.73,1011.8,Freshness
24.25,1011.8,Freshness
24.27,1011.8,Freshness
24.37,1011.82,Freshness
24.53,1011.8,Freshness
24.8,1011.8,Freshness
24.94,1011.82,Freshness
24.97,1011.84,Freshness
24.85,1011.82,Freshness
24.8,1011.84,Freshness
24.84,1011.82,Freshness
24.93,1011.84,Freshness
25.1,1011.82,Freshness
25.21,1011.8,Freshness
25.29,1011.8,Freshness
25.24,1011.8,Freshness
25.28,1011.82,Freshness
25.3,1011.8,Freshness
25.42,1011.82,Freshness
25.45,1011.8,Freshness
25.49,1011.82,Freshness
25.5,1011.8,Freshness
25.46,1011.8,Freshness
25.46,1011.8,Freshness
25.56,1011.82,Freshness
25.55,1011.8,Freshness
25.65,1011.8,Freshness
25.68,1011.82,Freshness
25.61,1011.84,Freshness
25.53,1011.86,Freshness
25.59,1011.84,Freshness
25.59,1011.82,Freshness
25.64,1011.84,Freshness
25.66,1011.82,Freshness
25.57,1011.8,Freshness
25.55,1011.8,Freshness
25.63,1011.8,Freshness
25.74,1011.82,Freshness
25.66,1011.8,Freshness
25.71,1011.82,Freshness
25.71,1011.8,Freshness
25.63,1011.8,Freshness
25.62,1011.8,Freshness
25.73,1011.82,Freshness
25.77,1011.8,Freshness
25.77,1011.8,Freshness
25.83,1011.8,Freshness
25.82,1011.82,Freshness
25.78,1011.8,Freshness
25.77,1011.8,Freshness
25.81,1011.82,Freshness
25.8,1011.8,Freshness
25.77,1011.82,Freshness
25.78,1011.84,Freshness
25.74,1011.82,Freshness
25.72,1011.84,Freshness
25.73,1011.82,Freshness
25.68,1011.8,Freshness
25.65,1011.82,Freshness
25.58,1011.8,Freshness
25.7,1011.82,Freshness
25.78,1011.84,Freshness
25.77,1011.82,Freshness
25.78,1011.84,Freshness
25.78,1011.86,Freshness
25.81,1011.84,Freshness
25.79,1011.86,Freshness
25.79,1011.88,Freshness
25.88,1011.9,Freshness
25.92,1011.92,Freshness
25.88,1011.9,Freshness
25.9,1011.92,Freshness
26.02,1011.94,Freshness
26.12,1011.92,Freshness
25.99,1011.9,Freshness
