Temp,Pork,Fish,Chicken
24.69,1011.8,1011.8,1011.3
23.77,1011.82,1011.82,1011.31
23.55,1011.8,1011.8,1011.3
23.49,1011.82,1011.82,1011.31
23.54,1011.8,1011.8,1011.3
23.53,1011.82,1011.82,1011.31
23.56,1011.8,1011.8,1011.33
23.56,1011.82,1011.82,1011.32
23.6,1011.84,1011.84,1011.31
23.61,1011.86,1011.86,1011.3
23.63,1011.88,1011.88,1011.31
23.69,1011.86,1011.86,1011.33
23.82,1011.84,1011.84,1011.32
23.86,1011.82,1011.82,1011.34
23.92,1011.84,1011.84,1011.33
23.91,1011.86,1011.86,1011.32
23.86,1011.84,1011.84,1011.31
23.82,1011.86,1011.86,1011.33
23.85,1011.88,1011.88,1011.34
23.88,1011.9,1011.9,1011.36
23.86,1011.92,1011.92,1011.37
23.87,1011.94,1011.94,1011.39
23.88,1011.92,1011.92,1011.38
23.91,1011.9,1011.9,1011.4
23.94,1011.88,1011.88,1011.42
23.91,1011.86,1011.86,1011.44
23.98,1011.88,1011.88,1011.43
23.98,1011.86,1011.86,1011.42
23.99,1011.84,1011.84,1011.41
24.04,1011.82,1011.82,1011.4
24.07,1011.84,1011.84,1011.42
24.06,1011.86,1011.86,1011.44
24.06,1011.84,1011.84,1011.46
24.09,1011.82,1011.82,1011.47
24.13,1011.8,1011.8,1011.48
24.09,1011.8,1011.8,1011.5
24.23,1011.8,1011.8,1011.52
24.26,1011.8,1011.8,1011.51
24.18,1011.8,1011.8,1011.52
24.19,1011.8,1011.8,1011.51
24.22,1011.82,1011.82,1011.52
24.19,1011.8,1011.8,1011.51
24.24,1011.8,1011.8,1011.52
24.25,1011.82,1011.82,1011.53
24.3,1011.84,1011.84,1011.54
24.37,1011.82,1011.82,1011.53
24.29,1011.84,1011.84,1011.54
24.3,1011.82,1011.82,1011.53
24.31,1011.84,1011.84,1011.54
24.3,1011.82,1011.82,1011.56
24.35,1011.8,1011.8,1011.58
24.41,1011.8,1011.8,1011.6
24.4,1011.8,1011.8,1011.59
24.4,1011.82,1011.82,1011.6
24.45,1011.8,1011.8,1011.59
24.44,1011.82,1011.82,1011.6
24.43,1011.8,1011.8,1011.59
24.45,1011.82,1011.82,1011.58
