temp,pork
25.6,1011.8
25.67,1011.82
25.72,1011.8
25.72,1011.82
25.81,1011.8
25.81,1011.82
25.95,1011.8
25.97,1011.82
25.86,1011.84
25.87,1011.86
25.87,1011.88
25.81,1011.86
25.79,1011.84
25.78,1011.82
25.7,1011.84
25.77,1011.86
25.93,1011.84
25.84,1011.86
25.68,1011.88
25.68,1011.9
25.54,1011.92
25.58,1011.94
25.65,1011.92
25.6,1011.9
25.55,1011.88
25.54,1011.86
25.71,1011.88
25.73,1011.86
25.6,1011.84
25.53,1011.82
25.75,1011.84
25.6,1011.86
25.53,1011.84
25.46,1011.82
25.38,1011.8
25.37,1011.8
25.17,1011.8
24.73,1011.8
24.25,1011.8
24.27,1011.8
24.37,1011.82
24.53,1011.8
24.8,1011.8
24.94,1011.82
24.97,1011.84
24.85,1011.82
24.8,1011.84
24.84,1011.82
24.93,1011.84
25.1,1011.82
25.21,1011.8
25.29,1011.8
25.24,1011.8
25.28,1011.82
25.3,1011.8
25.42,1011.82
25.45,1011.8
25.49,1011.82
25.5,1011.8
25.46,1011.8
25.46,1011.8
25.56,1011.82
25.55,1011.8
25.65,1011.8
25.68,1011.82
25.61,1011.84
25.53,1011.86
25.59,1011.84
25.59,1011.82
25.64,1011.84
25.66,1011.82
25.57,1011.8
25.55,1011.8
25.63,1011.8
25.74,1011.82
25.66,1011.8
25.71,1011.82
25.71,1011.8
25.63,1011.8
25.62,1011.8
25.73,1011.82
25.77,1011.8
25.77,1011.8
25.83,1011.8
25.82,1011.82
25.78,1011.8
25.77,1011.8
25.81,1011.82
25.8,1011.8
25.77,1011.82
25.78,1011.84
25.74,1011.82
25.72,1011.84
25.73,1011.82
25.68,1011.8
25.65,1011.82
25.58,1011.8
25.7,1011.82
25.78,1011.84
25.77,1011.82
25.78,1011.84
25.78,1011.86
25.81,1011.84
25.79,1011.86
25.79,1011.88
25.88,1011.9
25.92,1011.92
25.88,1011.9
25.9,1011.92
26.02,1011.94
26.12,1011.92
25.99,1011.9
25.87,1011.88
25.94,1011.9
25.94,1011.92
25.96,1011.94
25.9,1011.92
25.94,1011.9
25.97,1011.88
26.02,1011.86
25.93,1011.84
25.92,1011.82
25.87,1011.84
25.87,1011.82
25.89,1011.84
25.96,1011.82
26.03,1011.84
25.9,1011.86
25.94,1011.88
25.97,1011.9
25.97,1011.88
26,1011.9
26.02,1011.88
26.03,1011.9
26.03,1011.92
26.1,1011.94
26.11,1011.96
26.1,1011.94
26.12,1011.96
26.15,1011.98
26.23,1011.96
26.24,1011.94
26.23,1011.96
26.18,1011.94
26.22,1011.96
26.24,1011.98
26.2,1011.96
26.15,1011.94
26.07,1011.92
26.05,1011.94
26.06,1011.96
26.06,1011.98
26.03,1011.96
26.04,1011.98
26.04,1011.96
26.02,1011.98
26.03,1011.96
26.04,1011.98
26.02,1011.96
26.01,1011.94
26.03,1011.92
26.06,1011.9
26,1011.92
26.02,1011.94
26.04,1011.92
26.05,1011.9
26.01,1011.88
26.03,1011.86
26.04,1011.84
26.06,1011.86
26.09,1011.84
26.08,1011.86
26.1,1011.88
26.09,1011.86
26.08,1011.88
26.1,1011.9
26.13,1011.88
26.16,1011.86
26.13,1011.88
26.12,1011.9
26.14,1011.88
26.16,1011.86
26.18,1011.88
26.19,1011.9
26.2,1011.92
26.22,1011.9
26.25,1011.88
26.24,1011.86
26.25,1011.88
26.26,1011.86
26.33,1011.84
26.36,1011.86
26.44,1011.84
26.5,1011.86
26.58,1011.88
26.69,1011.86
26.66,1011.88
26.64,1011.86
26.64,1011.84
26.69,1011.82
26.71,1011.8
26.75,1011.82
26.77,1011.84
26.85,1011.82
26.91,1011.8
26.85,1011.8
26.81,1011.82
26.8,1011.8
26.81,1011.82
26.83,1011.84
26.84,1011.86
26.84,1011.84
26.88,1011.86
26.92,1011.88
26.93,1011.9
26.93,1011.88
26.92,1011.9
26.9,1011.92
26.93,1011.94
26.93,1011.92
26.96,1011.94
26.93,1011.96
26.92,1011.94
26.98,1011.92
27.01,1011.9
27.05,1011.92
27.08,1011.9
27.1,1011.88
27.09,1011.86
27.07,1011.84
27.06,1011.82
27.02,1011.84
26.94,1011.86
26.91,1011.84
26.9,1011.82
26.92,1011.8
26.93,1011.8
27,1011.82
26.96,1011.84
26.99,1011.86
27,1011.88
27.04,1011.9
27.04,1011.92
27.01,1011.94
27,1011.92
27.05,1011.9
27.01,1011.88
27.02,1011.86
27.02,1011.88
27,1011.9
27.01,1011.88
26.96,1011.9
26.99,1011.92
26.95,1011.9
26.95,1011.92
26.91,1011.94
26.88,1011.92
26.87,1011.9
26.87,1011.88
26.84,1011.86
26.9,1011.84
26.89,1011.86
26.87,1011.88
26.91,1011.9
26.87,1011.92
26.86,1011.9
26.84,1011.88
26.83,1011.86
26.78,1011.88
26.77,1011.86
26.73,1011.84
26.76,1011.82
26.72,1011.8
26.69,1011.82
26.68,1011.8
26.68,1011.8
26.64,1011.82
26.65,1011.84
26.65,1011.82
26.63,1011.8
26.63,1011.82
26.63,1011.8
26.66,1011.8
26.72,1011.82
26.77,1011.84
26.79,1011.82
26.82,1011.84
26.82,1011.86
26.79,1011.88
26.78,1011.9
26.79,1011.88
26.74,1011.9
26.74,1011.92
26.72,1011.9
26.7,1011.88
26.71,1011.86
26.77,1011.88
26.83,1011.9
26.73,1011.88
26.79,1011.86
26.81,1011.84
26.79,1011.86
26.67,1011.84
26.59,1011.82
26.57,1011.84
26.6,1011.86
26.63,1011.88
26.69,1011.9
26.72,1011.92
26.71,1011.9
26.71,1011.92
26.73,1011.94
26.69,1011.96
26.66,1011.94
26.57,1011.92
26.51,1011.94
26.57,1011.96
26.55,1011.98
26.5,1012
26.49,1011.98
26.46,1011.96
26.5,1011.98
26.51,1012
26.48,1011.98
26.44,1011.96
26.49,1011.94
26.47,1011.96
26.47,1011.94
26.5,1011.96
26.55,1011.98
26.53,1012
26.53,1011.98
26.5,1012
26.48,1012.02
26.51,1012
26.52,1011.98
26.52,1011.96
26.56,1011.98
26.58,1011.96
26.57,1011.98
26.6,1011.96
26.61,1011.98
26.64,1011.96
26.59,1011.94
26.6,1011.92
26.58,1011.9
26.58,1011.88
26.62,1011.86
26.59,1011.88
26.54,1011.9
26.52,1011.92
26.56,1011.94
26.54,1011.96
26.54,1011.94
26.54,1011.96
26.56,1011.98
26.56,1011.96
26.57,1011.94
26.58,1011.92
26.59,1011.9
26.54,1011.88
26.58,1011.86
26.54,1011.84
26.56,1011.82
26.61,1011.8
26.62,1011.8
26.66,1011.8
26.69,1011.8
26.72,1011.8
26.7,1011.8
26.67,1011.82
