Time,ColorTemp, Lux, R, G, B, C
1608187144,5629,1255,2935,2913,3265,9673
1608187165,5634,1254,2933,2913,3267,9672
1608187186,5637,1253,2931,2912,3267,9669
1608187206,5640,1253,2930,2912,3268,9667
1608187227,5643,1253,2928,2912,3268,9666
1608187248,5644,1252,2927,2911,3268,9664
1608187269,5646,1252,2926,2911,3268,9663
1608187289,5649,1253,2924,2911,3268,9661
1608187310,5649,1253,2924,2911,3268,9660
1608187331,5651,1254,2923,2912,3269,9661
1608187351,5653,1253,2922,2911,3269,9660
1608187372,5656,1254,2921,2912,3270,9659
1608187393,5656,1254,2921,2912,3270,9660
1608187414,5658,1255,2920,2913,3271,9661
1608187434,5658,1255,2920,2913,3271,9661
1608187455,5660,1256,2919,2913,3271,9660
1608187476,5661,1256,2918,2913,3271,9659
1608187496,5663,1255,2918,2913,3272,9660
1608187517,5664,1256,2918,2914,3273,9661
1608187538,5665,1256,2917,2914,3273,9660
1608187558,5667,1257,2916,2914,3273,9660
1608187579,5667,1257,2916,2914,3273,9660
1608187600,5670,1256,2915,2914,3274,9660
1608187621,5670,1258,2915,2915,3274,9661
1608187641,5673,1257,2914,2915,3275,9661
1608187662,5673,1259,2914,2916,3275,9662
1608187683,5673,1259,2914,2916,3275,9662
1608187703,5674,1260,2914,2917,3276,9663
1608187724,5675,1260,2913,2917,3276,9663
1608187745,5677,1259,2913,2917,3277,9664
1608187765,5677,1261,2913,2918,3277,9665
1608187786,5678,1261,2912,2918,3277,9665
1608187807,5679,1261,2912,2918,3278,9665
1608187828,5679,1262,2912,2919,3278,9666
1608187848,5679,1262,2912,2919,3278,9666
1608187869,5682,1262,2911,2919,3279,9667
1608187890,5682,1263,2911,2920,3279,9668
1608187910,5682,1263,2911,2920,3279,9668
1608187931,5682,1263,2911,2920,3279,9668
1608187952,5683,1264,2911,2921,3280,9669
1608187973,5685,1264,2910,2921,3280,9669
1608187993,5685,1264,2910,2921,3280,9670
1608188014,5686,1265,2910,2922,3281,9671
1608188035,5686,1265,2910,2922,3281,9672
1608188055,5689,1267,2909,2923,3282,9673
1608188076,5688,1266,2910,2923,3282,9673
1608188097,5689,1268,2909,2924,3282,9674
1608188117,5690,1267,2909,2924,3283,9675
1608188138,5690,1269,2909,2925,3283,9675
1608188159,5692,1268,2909,2925,3284,9677
1608188180,5692,1268,2909,2925,3284,9677
1608188200,5693,1270,2908,2926,3284,9677
1608188221,5693,1269,2909,2926,3285,9680
1608188242,5694,1269,2908,2926,3285,9680
1608188262,5694,1271,2908,2927,3285,9680
1608188283,5696,1270,2908,2927,3286,9681
1608188304,5696,1272,2908,2928,3286,9683
1608188324,5696,1272,2908,2928,3286,9683
1608188345,5697,1273,2908,2929,3287,9684
1608188366,5697,1273,2908,2929,3287,9685
1608188387,5698,1272,2908,2929,3288,9686
1608188407,5698,1273,2908,2930,3288,9687
1608188428,5700,1274,2907,2930,3288,9687
1608188449,5701,1273,2907,2930,3289,9688
1608188469,5701,1275,2907,2931,3289,9688
1608188490,5701,1275,2907,2931,3289,9689
1608188511,5702,1276,2907,2932,3290,9690
1608188532,5702,1276,2907,2932,3290,9691
1608188552,5704,1275,2907,2932,3291,9692
1608188573,5704,1276,2907,2933,3291,9692
1608188594,5704,1276,2907,2933,3291,9694
